order_id,order_date,customer_name,segment,region,state,city,ship_mode,category,sub_category,product_name,quantity,sales,profit,discount,shipping_cost
ORD-2024-00001,2024-08-02,Customer 280,Consumer,West,New York,Albany,Standard Class,Technology,Copiers,Copiers Product 12,7,3863.74,697.86,0.2,206.25
ORD-2021-00002,2021-03-03,Customer 143,Consumer,East,Washington,Tacoma,Second Class,Technology,Accessories,Accessories Product 01,8,490.98,170.74,0.0,31.58
ORD-2024-00003,2024-11-30,Customer 136,Home Office,West,Illinois,Chicago,Standard Class,Furniture,Bookcases,Bookcases Product 06,3,386.63,-83.96,0.4,24.14
ORD-2023-00004,2023-02-15,Customer 024,Corporate,South,Illinois,Chicago,Standard Class,Technology,Copiers,Copiers Product 30,5,4742.33,726.51,0.15,309.43
ORD-2022-00005,2022-04-22,Customer 108,Corporate,West,Illinois,Chicago,Standard Class,Office Supplies,Appliances,Appliances Product 35,6,843.0,76.81,0.05,51.1
ORD-2024-00006,2024-06-01,Customer 286,Consumer,Central,Ohio,Cleveland,Standard Class,Office Supplies,Art,Art Product 29,6,56.42,-9.37,0.5,3.36
ORD-2022-00007,2022-04-15,Customer 256,Consumer,East,Michigan,Detroit,Same Day,Office Supplies,Storage,Storage Product 51,5,648.66,127.49,0.0,47.03
ORD-2021-00008,2021-10-20,Customer 205,Corporate,Central,Michigan,Detroit,Second Class,Technology,Accessories,Accessories Product 47,5,169.21,13.96,0.3,4.95
ORD-2023-00009,2023-11-10,Customer 033,Consumer,South,Texas,Austin,Same Day,Furniture,Chairs,Chairs Product 50,3,444.79,23.49,0.05,17.71
ORD-2023-00010,2023-12-20,Customer 175,Consumer,Central,Georgia,Atlanta,Second Class,Technology,Phones,Phones Product 15,4,1186.8,-65.97,0.2,40.44
ORD-2023-00011,2023-07-19,Customer 153,Corporate,South,Georgia,Atlanta,Second Class,Technology,Copiers,Copiers Product 65,7,2473.2,208.93,0.3,134.99
ORD-2023-00012,2023-02-05,Customer 010,Home Office,South,California,San Diego,First Class,Office Supplies,Art,Art Product 15,4,72.22,10.25,0.05,5.44
ORD-2022-00013,2022-05-06,Customer 066,Consumer,West,New York,Albany,Second Class,Technology,Phones,Phones Product 61,3,938.22,156.22,0.2,71.82
ORD-2022-00014,2022-06-27,Customer 192,Home Office,South,Washington,Tacoma,Same Day,Furniture,Furnishings,Furnishings Product 57,2,121.12,16.4,0.05,8.9
ORD-2021-00015,2021-09-05,Customer 031,Corporate,West,Washington,Seattle,Standard Class,Technology,Phones,Phones Product 30,5,1828.64,345.37,0.0,35.44
ORD-2022-00016,2022-11-08,Customer 293,Consumer,West,Georgia,Atlanta,Same Day,Technology,Accessories,Accessories Product 74,4,288.02,63.42,0.15,13.17
ORD-2023-00017,2023-04-14,Customer 028,Consumer,Central,Ohio,Cleveland,First Class,Technology,Phones,Phones Product 13,7,1991.96,-162.05,0.3,37.73
ORD-2021-00018,2021-08-12,Customer 039,Consumer,East,Texas,Dallas,Standard Class,Technology,Accessories,Accessories Product 57,2,104.61,32.81,0.1,7.06
ORD-2021-00019,2021-04-14,Customer 247,Home Office,South,Washington,Seattle,Standard Class,Office Supplies,Art,Art Product 28,6,135.53,11.08,0.05,9.65
ORD-2021-00020,2021-12-04,Customer 285,Corporate,West,Pennsylvania,Pittsburgh,First Class,Furniture,Furnishings,Furnishings Product 63,5,422.02,73.58,0.05,10.58
ORD-2022-00021,2022-03-22,Customer 245,Consumer,Central,Illinois,Chicago,Second Class,Office Supplies,Art,Art Product 65,8,210.56,60.27,0.0,15.74
ORD-2021-00022,2021-04-27,Customer 207,Consumer,South,New York,Albany,Second Class,Office Supplies,Binders,Binders Product 16,6,87.93,-9.53,0.3,6.7
ORD-2024-00023,2024-03-31,Customer 105,Corporate,East,Georgia,Atlanta,Same Day,Furniture,Chairs,Chairs Product 41,2,342.4,-28.13,0.4,10.45
ORD-2021-00024,2021-09-26,Customer 289,Home Office,East,New York,New York City,Second Class,Office Supplies,Storage,Storage Product 13,1,92.84,-0.05,0.1,2.0
ORD-2023-00025,2023-11-03,Customer 279,Home Office,South,Illinois,Chicago,Standard Class,Technology,Copiers,Copiers Product 39,1,631.32,125.93,0.0,34.57
ORD-2024-00026,2024-09-29,Customer 055,Consumer,South,Texas,Dallas,First Class,Office Supplies,Storage,Storage Product 71,1,108.83,13.66,0.0,2.73
